"죄종별(1)",죄종별(2),죄종별(3),죄종별(4),1990,1991,1992,1993,1994,1994,1995,1995,1996,1996,1997,1997,1998,1998,1999,1999,2000,2000,2001,2001,2002,2002,2003,2003,2004,2004,2005,2005,2006,2006,2007,2007,2008,2008,2009,2009,2010,2010
"죄종별(1)",죄종별(2),죄종별(3),죄종별(4),발생건수 (건),발생건수 (건),발생건수 (건),발생건수 (건),발생건수 (건),법인체 (개),발생건수 (건),법인체 (개),발생건수 (건),법인체 (개),발생건수 (건),법인체 (개),발생건수 (건),법인체 (개),발생건수 (건),법인체 (개),발생건수 (건),법인체 (개),발생건수 (건),법인체 (개),발생건수 (건),법인체 (개),발생건수 (건),법인체 (개),발생건수 (건),법인체 (개),발생건수 (건),법인체 (개),발생건수 (건),법인체 (개),발생건수 (건),법인체 (개),발생건수 (건),법인체 (개),발생건수 (건),법인체 (개),발생건수 (건),법인체 (개)
"형법범",강력범,방화,폭발물파열죄,7,6,7,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"형법범",강력범,방화,방화등예비음모,33,58,26,50,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"형법범",절도범,절도,소계,-,-,-,-,38787,-,43856,5,51853,2,62685,2,62749,2,60598,7,140388,-,147087,3,130527,4,144330,2,120952,-,156508,3,159902,3,171873,1,177429,-,193897,-,211991,3
"형법범",절도범,특가법(절도),소계,-,-,-,-,3879,-,2342,-,1996,-,2362,-,3812,-,7136,1,9388,1,12330,-,20014,-,19716,-,15546,-,13016,-,13644,-,16849,-,19633,-,27946,-,24459,-
"형법범",절도범,특가법(절도강간),소계,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"형법범",절도범,야간주거침입절도,소계,5362,5007,5005,3999,3037,-,2619,-,2528,-,2593,-,3202,-,3337,-,3510,-,3089,-,3199,-,3062,-,2243,-,2313,-,2436,-,2917,-,3527,-,5056,-,7437,-
"형법범",절도범,야간주거침입절도(상습),소계,-,-,-,-,2,-,4,-,2,-,-,-,12,-,7,-,4,-,9,-,3,-,11,-,2,-,45,-,10,-,1,-,9,-,18,-,42,-
"형법범",절도범,특수절도,소계,14764,14350,15341,14501,13891,-,13596,2,13653,-,14805,1,20870,1,17507,3,19620,2,17248,3,23155,1,18741,3,15488,-,16075,-,16029,-,19847,-,21527,3,27453,-,24049,-
"형법범",절도범,자동차·선박등불법사용,소계,-,-,-,-,-,-,-,-,-,-,351,-,379,-,343,-,384,-,373,-,425,-,452,-,400,-,382,-,337,-,348,-,314,-,311,-,253,-
"형법범",절도범,특수절도(상습),소계,-,-,-,-,17,-,16,-,5,-,20,-,67,-,41,-,12,-,56,-,45,-,129,-,14,-,-,-,41,-,9,-,21,-,79,-,24,-
"형법범",절도범,상습절도,소계,2132,3097,3151,2082,641,-,277,-,201,-,247,-,347,-,426,-,570,-,512,-,1089,-,911,-,666,-,441,1,271,-,614,-,756,-,1663,-,1155,-
"형법범",절도범,일반절도죄,소계,73169,64904,54364,40944,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"형법범",폭력범,상해,소계,-,-,-,-,23081,1,21450,3,22484,-,22147,-,24765,-,29569,3,31386,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"형법범",폭력범,상해,상해,17693,18052,18108,20533,-,-,-,-,-,-,-,-,-,-,-,-,-,-,31098,-,28067,1,29661,-,30659,-,29570,1,80485,-,92002,-,85786,1,81666,1,69808,-
